id,region,policy,
1,강원,"아이기르기 화천 모델: 교육, 돌봄, 주거를 통합한 지방 혁신 모델.",
1,강원,"영월군 공연단체 유치: 뮤지컬·관광 벨트, 예술 관광 중심지화.",
1,강원,탄소중립 산림클러스터: 산림자원과 기후 일자리를 연계해 지역 탄소 산업 육성 및 친환경 일자리 창출.,
1,강원,"산악·오지 응급의료게시시스템: 구조 드론, 산악 구조 핫라인 구축.",
2,경기,"LH 공공임대 11만 호 공급: 임대주택 대거 공급, 주거 복지 및 경기 활성화.",
2,경기,성남 환경교육도시 지정: VR 기반 환경교육 시스템 운영으로 지역 내 환경 인식 제고.,
2,경기,"고양 청년창업허브: 스타트업 거점화, 창업자·멘토링 네트워크 제공.",
2,경기,청년기술창업 지원센터: 경기도 내 기술창업 성장 매치.,
2,경기,지방중소기업 수출바우처 확대: 중소기업 해외 진출 자금 지원.,
2,경기,친환경 미래농업단지 조성: 도시 농업과 스마트 농업 확장 정책으로 지속 가능한 먹거리 시스템 구축.,
2,경기,"중장년 재취업 인턴십: 40~60대 구직자를 위한 재취업 인턴 지원, 멘토링·취업 매칭.",
2,경기,공정무역 도시지원 확장: 시·군 단위 중소기업·학교에 공정무역 제품 보급 및 인증 취득 비용 지원.,
3,경남,창원 의료·기계 융합단지: 제조업 혁신 및 의료기술 집적화.,
3,경남,진주 항공산업 전문인력: 대학 중심 항공산업 인재 양성사업.,
3,경남,통영 해양관광박람회: 어촌 연계 박람 축제 통한 해양 관광 활성화.,
3,경남,"경남 맞춤형 주택 매입임대: 무주택자, 신혼부부, 청년 등 타겟 임대주택 공급.",
4,경북,"안동 전통요리 공연관광: 지역 음식+공연 예술 융합, 관광객 유치.",
4,경북,"포항 이차전지 인력양성: 첨단배터리·소재인력 집중 육성, 산학연 협력.",
4,경북,농촌학교 스마트주차타워: 등하교 안전·마을 주차난 해소.,
5,광주,"AI 중심도시 광주 프로젝트: 인공지능 연구/창업 생태계 조성, 미래산업 육성.",
5,광주,미래형 스마트산단 프로젝트: 탄소·AI·첨단부품산업 클러스터 조성으로 고용창출.,
5,광주,"광주권역 필수의료 강화: 응급 의료 접근성 개선, 필수 의료 자원 확충.",
5,광주,문화예술인 창작지원금: 창작비 지원 및 공연장 무료 대관으로 예술인 자립 기반 확대.,
5,광주,중소기업 에너지진단무료 지원사업: 산업현장 비용 절감 및 환경 안전 지원.,
6,대구,신혼부부 공공임대 특화: 젊은 부부 대상 임대료 보조.,
6,대구,"공공병원 통합진료시스템: 공공 의료기관 간 진료·협력체계 강화, 의료 격차 해소.",
6,대구,생애맞춤형 건강진단센터: 만성 질환 초기 발견.,
6,대구,"대구형 스타트업 혁신지구: 창업인프라 집적, 지역청년·기술기업 일자리 창출.",
6,대구,장애인 스마트교통 지원: 맞춤형 이동 약자 교통 서비스 확대.,
6,대구,청년 일자리 도약 사업: 지역 청년 고용 창출.,
6,대구,소상공인 반값택배 지원: 택배요금 공동구매·배분으로 소상공인 물류비 절감.,
6,대구,공공 데이터 기반 스마트교통: 교통 혼잡·대기질 AI 분석.,
